F1,F2,F3,F4,PCI
28.1,8.25,150,345060,99
27.6,8.25,150,345060,99
20.7,8.25,150,345060,98
29.7,6.5,150,345060,98
22.6,6.5,150,345060,98
30.2,8.25,100,345060,94
23.8,8.25,100,345060,93
30,6.5,100,345060,93
20.9,6.5,100,345060,90
14.5,6.5,100,345060,88
19.7,8.25,150,421353,96
16.3,8.25,150,421353,95
14.2,8.25,150,421353,96
21.8,6.5,150,421353,96
16.9,6.5,150,421353,95
24.8,8.25,100,421353,90
10.6,8.25,100,421353,86
28,6.5,100,421353,90
19.3,6.5,100,421353,88
15,6.5,100,421353,86
26.2,8.25,150,496299,97
22.3,8.25,150,496299,96
18.2,8.25,150,496299,94
22.2,6.5,150,496299,94
11.1,6.5,150,496299,91
19.2,8.25,100,496299,87
16,8.25,100,496299,86
30.3,6.5,100,496299,89
13.6,6.5,100,496299,85
11,6.5,100,496299,83
23.7,8.25,150,571876,93
21.6,8.25,150,571876,92
14.4,8.25,150,571876,92
15.2,6.5,150,571876,91
10.6,6.5,150,571876,90
23.4,8.25,100,571876,88
18.3,8.25,100,571876,86
30.5,6.5,100,571876,87
17.4,6.5,100,571876,84
13.5,6.5,100,571876,83
29,8.25,150,647387,94
18.7,8.25,150,647387,91
11,8.25,150,647387,88
23.9,6.5,150,647387,91
20.3,6.5,150,647387,90
25.7,8.25,100,647387,87
22.1,8.25,100,647387,85
21.2,6.5,100,647387,83
18.5,6.5,100,647387,83
11.8,6.5,100,647387,80
22.5,8.25,150,723859,90
21.8,8.25,150,723859,90
16.2,8.25,150,723859,88
19.8,6.5,150,723859,88
15.5,6.5,150,723859,87
29.9,8.25,100,723859,86
24.8,8.25,100,723859,84
28.1,6.5,100,723859,84
24.1,6.5,100,723859,83
15.4,6.5,100,723859,79
28.7,8.25,150,798664,90
17.6,8.25,150,798664,88
11.5,8.25,150,798664,85
25.2,6.5,150,798664,88
10.7,6.5,150,798664,83
14.1,8.25,100,798664,79
9.6,8.25,100,798664,79
30.7,6.5,100,798664,83
26.4,6.5,100,798664,81
14.4,6.5,100,798664,79
20.1,8.25,150,874093,87
14.9,8.25,150,874093,85
9.7,8.25,150,874093,84
29.9,6.5,150,874093,88
26.3,6.5,150,874093,87
27.1,8.25,100,874093,81
20,8.25,100,874093,79
28.3,6.5,100,874093,82
22.8,6.5,100,874093,79
13.7,6.5,100,874093,78
27.6,8.25,150,950292,86
22.5,8.25,150,950292,84
10.5,8.25,150,950292,83
13.4,6.5,150,950292,82
9.9,6.5,150,950292,80
23.8,8.25,100,950292,79
17,8.25,100,950292,77
30.2,6.5,100,950292,79
26.3,6.5,100,950292,79
19.5,6.5,100,950292,76
21.4,8.25,150,1008455,84
15.2,8.25,150,1008455,83
12.4,8.25,150,1008455,82
29.1,6.5,150,1008455,84
26.8,6.5,150,1008455,83
25.4,6.5,150,1008455,82
9.3,6.5,150,1008455,78
27.3,8.25,100,1008455,79
25.5,8.25,100,1008455,79
13.5,8.25,100,1008455,74
12.1,8.25,100,1008455,73
28.4,6.5,100,1008455,76
25.2,6.5,100,1008455,76
24.8,6.5,100,1008455,75
24,6.5,100,1008455,76
12,6.5,100,1008455,72
23.4,8.25,150,1026080,81
21.9,8.25,150,1026080,81
16.1,8.25,150,1026080,80
29.5,6.5,150,1026080,81
16.6,6.5,150,1026080,78
25,8.25,100,1026080,76
16.5,8.25,100,1026080,73
30.7,6.5,100,1026080,75
25.4,6.5,100,1026080,74
21.5,6.5,100,1026080,73
18.6,8.25,150,1101517,79
18.4,8.25,150,1101517,79
17.8,8.25,150,1101517,79
23.6,6.5,150,1101517,78
18.6,6.5,150,1101517,76
25.3,8.25,100,1101517,74
14.9,8.25,100,1101517,72
27.5,6.5,100,1101517,74
21.9,6.5,100,1101517,72
10,6.5,100,1101517,67
27.1,8.25,150,1108995,79
24.8,8.25,150,1108995,79
24.2,8.25,150,1108995,79
18.4,8.25,150,1108995,77
18.3,8.25,150,1108995,77
18.1,8.25,150,1108995,77
11.4,8.25,150,1108995,74
9.6,8.25,150,1108995,73
8.9,8.25,150,1108995,74
26.4,6.5,150,1108995,75
26.3,6.5,150,1108995,76
19.2,6.5,150,1108995,74
16.9,6.5,150,1108995,74
8.6,6.5,150,1108995,70
24.5,8.25,100,1108995,70
21.4,8.25,100,1108995,69
19.7,8.25,100,1108995,69
15.1,8.25,100,1108995,67
14.8,8.25,100,1108995,68
9.2,8.25,100,1108995,66
26.1,6.5,100,1108995,69
20.3,6.5,100,1108995,68
19.9,6.5,100,1108995,67
18.2,6.5,100,1108995,66
17.4,6.5,100,1108995,66
16,6.5,100,1108995,66
13.9,6.5,100,1108995,64
13.4,6.5,100,1108995,65
11.5,6.5,100,1108995,63
29.4,8.25,150,1176411,75
17.6,8.25,150,1176411,73
14.7,8.25,150,1176411,71
24.5,6.5,150,1176411,72
11.5,6.5,150,1176411,68
16.1,8.25,100,1176411,64
8.6,8.25,100,1176411,63
24.9,6.5,100,1176411,66
23.6,6.5,100,1176411,66
18.6,6.5,100,1176411,64
28.5,8.25,150,1211047,74
27,8.25,150,1211047,73
20.6,8.25,150,1211047,70
20.5,8.25,150,1211047,71
19,8.25,150,1211047,70
9.1,8.25,150,1211047,66
21.8,6.5,150,1211047,70
17.2,6.5,150,1211047,69
8.4,6.5,150,1211047,66
15.5,8.25,100,1211047,62
14.9,8.25,100,1211047,63
30.9,6.5,100,1211047,65
18.6,6.5,100,1211047,61
12.2,6.5,100,1211047,61
11.9,6.5,100,1211047,61
11.6,6.5,100,1211047,61
9.7,6.5,100,1211047,59
27,8.25,150,1251841,70
21.5,8.25,150,1251841,69
21,8.25,150,1251841,69
26.2,6.5,150,1251841,68
25.7,6.5,150,1251841,69
16.6,8.25,100,1251841,61
8.6,8.25,100,1251841,59
28.5,6.5,100,1251841,64
16.2,6.5,100,1251841,60
13.3,6.5,100,1251841,58
25.8,8.25,150,1314627,68
22.9,8.25,150,1314627,67
22.2,8.25,150,1314627,67
26.2,6.5,150,1314627,68
8.7,6.5,150,1314627,61
19.3,8.25,100,1314627,61
18.3,8.25,100,1314627,60
17.3,6.5,100,1314627,59
27.6,8.25,150,1328278,67
17,8.25,150,1328278,66
14.6,8.25,150,1328278,65
14.2,6.5,150,1328278,63
8.8,6.5,150,1328278,61
28.6,8.25,100,1328278,61
25.2,8.25,100,1328278,60
29.3,6.5,100,1328278,60
28.2,6.5,100,1328278,60
13.6,6.5,100,1328278,57
29.8,8.25,150,1403494,66
12.2,8.25,150,1403494,62
8.5,8.25,150,1403494,60
27.8,6.5,150,1403494,66
26.1,6.5,150,1403494,64
27.4,8.25,100,1403494,60
14,8.25,100,1403494,55
30.2,6.5,100,1403494,58
20.7,6.5,100,1403494,56
15.1,6.5,100,1403494,53
30.7,6.5,150,1419761,65
27.5,6.5,150,1419761,64
24,8.25,100,1419761,58
23.1,8.25,100,1419761,57
16.6,6.5,100,1419761,55
13.9,6.5,100,1419761,53
30.4,8.25,150,1478555,65
29.9,8.25,150,1478555,63
17.2,8.25,150,1478555,61
25.7,6.5,150,1478555,61
25.2,6.5,150,1478555,61
14.8,8.25,100,1478555,53
12.5,8.25,100,1478555,53
30.9,6.5,100,1478555,56
24,6.5,100,1478555,53
18.3,6.5,100,1478555,53
27.4,8.25,150,1526471,62
27.1,8.25,150,1526471,61
10.4,8.25,150,1526471,57
29.3,8.25,100,1526471,57
9.9,8.25,100,1526471,51
26.8,6.5,100,1526471,54
16.7,6.5,100,1526471,51
12,6.5,100,1526471,49
19.1,8.25,150,1554787,58
15.6,8.25,150,1554787,57
13.2,8.25,150,1554787,57
13.3,6.5,150,1554787,54
9.5,6.5,150,1554787,54
23.2,8.25,100,1554787,52
9.9,8.25,100,1554787,49
28.2,6.5,100,1554787,53
