F1,F2,F3,F4,PCI
28,6.5,100,1554787,52
19.2,6.5,100,1554787,50
30.6,8.25,150,1629968,60
23.9,8.25,150,1629968,58
18.6,8.25,150,1629968,57
16.7,6.5,150,1629968,54
14.8,6.5,150,1629968,53
19.3,8.25,100,1629968,51
13.8,8.25,100,1629968,52
31,6.5,100,1629968,51
25.4,6.5,100,1629968,52
16.9,6.5,100,1629968,51
28.5,8.25,150,1634784,58
11.8,8.25,150,1634784,53
10.5,8.25,150,1634784,53
26.8,6.5,150,1634784,56
22.6,6.5,150,1634784,54
28.4,6.5,100,1634784,51
8.4,6.5,100,1634784,51
28.2,8.25,150,1705515,57
21.9,8.25,150,1705515,55
18.1,8.25,150,1705515,52
29.3,6.5,150,1705515,55
12.5,6.5,150,1705515,52
16,8.25,100,1705515,51
13.4,8.25,100,1705515,51
19.9,6.5,100,1705515,52
17.8,6.5,100,1705515,51
11.2,6.5,100,1705515,51
22.9,8.25,150,1744719,54
12.7,8.25,150,1744719,52
12.1,8.25,150,1744719,51
26.3,6.5,150,1744719,53
21,6.5,150,1744719,51
10.7,6.5,150,1744719,53
21.3,8.25,100,1744719,52
17.5,8.25,100,1744719,52
24.2,6.5,100,1744719,46
29.6,8.25,150,1781130,55
22.2,8.25,150,1781130,53
21.2,8.25,150,1781130,53
22.9,6.5,150,1781130,52
12.7,6.5,150,1781130,49
24.8,8.25,100,1781130,47
24.6,8.25,100,1781130,48
14.2,6.5,100,1781130,43
12.7,6.5,100,1781130,42
11.9,6.5,100,1781130,42
9.8,6.5,150,1856307,48
29.3,8.25,150,1856540,54
22.2,8.25,150,1856540,52
21,8.25,150,1856540,52
23.1,6.5,150,1856540,52
12.2,6.5,150,1856540,48
28.4,8.25,100,1856540,48
12.7,8.25,100,1856540,43
30.4,6.5,100,1856540,51
24.6,6.5,100,1856540,48
23.9,6.5,100,1856540,47
9.7,6.5,100,1856540,41
