Mr,SN,ALT,ESAL,AGE,D,PCI
18.6,4.882,100,1176411,6,0,64
28.5,5.748,150,1211047,6,0,74
27,5.748,150,1211047,6,0,73
20.6,5.748,150,1211047,6,0,70
20.5,5.748,150,1211047,6,0,71
19,5.748,150,1211047,6,0,70
9.1,5.748,150,1211047,6,0,66
21.8,5.748,150,1211047,6,0,70
17.2,5.748,150,1211047,6,0,69
8.4,5.748,150,1211047,6,0,66
15.5,4.882,100,1211047,6,0,62
14.9,4.882,100,1211047,6,0,63
30.9,4.882,100,1211047,6,0,65
18.6,4.882,100,1211047,6,0,61
12.2,4.882,100,1211047,6,0,61
11.9,4.882,100,1211047,6,0,61
11.6,4.882,100,1211047,6,0,61
9.7,4.882,100,1211047,6,0,59
27,5.748,150,1251841,6,0,70
21.5,5.748,150,1251841,6,0,69
21,5.748,150,1251841,6,0,69
26.2,5.748,150,1251841,6,0,68
25.7,5.748,150,1251841,6,0,69
16.6,4.882,100,1251841,6,0,61
8.6,4.882,100,1251841,6,0,59
28.5,4.882,100,1251841,6,0,64
16.2,4.882,100,1251841,6,0,60
13.3,4.882,100,1251841,6,0,58
25.8,5.748,150,1314627,6,0,68
22.9,5.748,150,1314627,6,0,67
22.2,5.748,150,1314627,6,0,67
26.2,5.748,150,1314627,6,0,68
8.7,5.748,150,1314627,6,0,61
19.3,4.882,100,1314627,6,0,61
18.3,4.882,100,1314627,6,0,60
17.3,4.882,100,1314627,6,0,59
27.6,5.748,150,1328278,6,0,67
17,5.748,150,1328278,6,0,66
14.6,5.748,150,1328278,6,0,65
14.2,5.748,150,1328278,6,0,63
8.8,5.748,150,1328278,6,0,61
28.6,4.882,100,1328278,6,0,61
25.2,4.882,100,1328278,6,0,60
29.3,4.882,100,1328278,6,0,60
28.2,4.882,100,1328278,6,0,60
13.6,4.882,100,1328278,6,0,57
29.8,5.748,150,1403494,7,0,66
12.2,5.748,150,1403494,7,0,62
8.5,5.748,150,1403494,7,0,60
27.8,5.748,150,1403494,7,0,66
26.1,5.748,150,1403494,7,0,64
27.4,4.882,100,1403494,7,0,60
14,4.882,100,1403494,7,0,55
30.2,4.882,100,1403494,7,0,58
20.7,4.882,100,1403494,7,0,56
15.1,4.882,100,1403494,7,0,53
30.7,5.748,150,1419761,7,0,65
27.5,5.748,150,1419761,7,0,64
24,4.882,100,1419761,7,0,58
23.1,4.882,100,1419761,7,0,57
16.6,4.882,100,1419761,7,0,55
13.9,4.882,100,1419761,7,0,53
30.4,5.748,150,1478555,7,0,65
29.9,5.748,150,1478555,7,0,63
17.2,5.748,150,1478555,7,0,61
25.7,5.748,150,1478555,7,0,61
25.2,5.748,150,1478555,7,0,61
14.8,4.882,100,1478555,7,0,53
12.5,4.882,100,1478555,7,0,53
30.9,4.882,100,1478555,7,0,56
24,4.882,100,1478555,7,0,53
18.3,4.882,100,1478555,7,0,53
27.4,5.748,150,1526471,7,0,62
27.1,5.748,150,1526471,7,0,61
10.4,5.748,150,1526471,7,0,57
29.3,4.882,100,1526471,7,0,57
9.9,4.882,100,1526471,7,0,51
26.8,4.882,100,1526471,7,0,54
16.7,4.882,100,1526471,7,0,51
12,4.882,100,1526471,7,0,49
19.1,5.748,150,1554787,7,0,58
15.6,5.748,150,1554787,7,0,57
13.2,5.748,150,1554787,7,0,57
13.3,5.748,150,1554787,7,0,54
9.5,5.748,150,1554787,7,0,54
23.2,4.882,100,1554787,7,0,52
9.9,4.882,100,1554787,7,0,49
28.2,4.882,100,1554787,7,0,53
28,4.882,100,1554787,7,0,52
19.2,4.882,100,1554787,7,0,50
30.6,5.748,150,1629968,7,0,60
23.9,5.748,150,1629968,7,0,58
18.6,5.748,150,1629968,7,0,57
16.7,5.748,150,1629968,7,0,54
14.8,5.748,150,1629968,7,0,53
19.3,4.882,100,1629968,7,0,51
13.8,4.882,100,1629968,7,0,52
31,4.882,100,1629968,7,0,51
25.4,4.882,100,1629968,7,0,52
16.9,4.882,100,1629968,7,0,51
28.5,5.748,150,1634784,7,0,58
11.8,5.748,150,1634784,7,0,53
10.5,5.748,150,1634784,7,0,53
26.8,5.748,150,1634784,7,0,56
22.6,5.748,150,1634784,7,0,54
28.4,4.882,100,1634784,7,0,51
8.4,4.882,100,1634784,7,0,51
28.2,5.748,150,1705515,8,0,57
21.9,5.748,150,1705515,8,0,55
18.1,5.748,150,1705515,8,0,52
29.3,5.748,150,1705515,8,0,55
12.5,5.748,150,1705515,8,0,52
16,4.882,100,1705515,8,0,51
13.4,4.882,100,1705515,8,0,51
19.9,4.882,100,1705515,8,0,52
17.8,4.882,100,1705515,8,0,51
11.2,4.882,100,1705515,8,0,51
22.9,5.748,150,1744719,8,0,54
12.7,5.748,150,1744719,8,0,52
12.1,5.748,150,1744719,8,0,51
26.3,5.748,150,1744719,8,0,53
21,5.748,150,1744719,8,0,51
10.7,5.748,150,1744719,8,0,53
21.3,4.882,100,1744719,8,0,52
17.5,4.882,100,1744719,8,0,52
24.2,4.882,100,1744719,8,0,46
29.6,5.748,150,1781130,10,0,55
22.2,5.748,150,1781130,10,0,53
21.2,5.748,150,1781130,10,0,53
22.9,5.748,150,1781130,10,0,52
12.7,5.748,150,1781130,10,0,49
24.8,4.882,100,1781130,10,0,47
24.6,4.882,100,1781130,10,0,48
14.2,4.882,100,1781130,10,0,43
12.7,4.882,100,1781130,10,0,42
11.9,4.882,100,1781130,10,0,42
9.8,5.748,150,1856540,,0,48
29.3,5.748,150,1856540,,0,54
22.2,5.748,150,1856540,,0,52
21,5.748,150,1856540,,0,52
23.1,5.748,150,1856540,,0,52
12.2,5.748,150,1856540,,0,48
28.4,4.882,100,1856540,,0,48
12.7,4.882,100,1856540,,0,43
30.4,4.882,100,1856540,,0,51
24.6,4.882,100,1856540,,0,48
23.9,4.882,100,1856540,,0,47
9.7,4.882,100,1856540,,0,41
16.9,5.748,150,511731,1,1,99
15.4,5.748,150,511731,1,1,99
12.9,5.748,150,511731,1,1,97
15,5.748,150,511731,1,1,97
12.1,5.748,150,511731,1,1,97
16.2,4.882,100,511731,1,1,89
11.4,4.882,100,511731,1,1,86
13.9,4.882,100,511731,1,1,86
14.6,5.748,150,701937,2,1,80
12.9,5.748,150,701937,2,1,76
12.4,5.748,150,701937,2,1,93
16.4,5.748,150,701937,2,1,91
13.5,5.748,150,701937,2,1,93
10.5,4.882,100,701937,2,1,93
14.5,4.882,100,701937,2,1,91
13.5,4.882,100,701937,2,1,80
15.8,5.748,150,891170,2,1,72
14.8,5.748,150,891170,2,1,80
10.6,5.748,150,891170,2,1,76
13.6,5.748,150,891170,2,1,72
7.6,4.882,100,891170,2,1,95
14.6,4.882,100,891170,2,1,93
14.3,4.882,100,891170,2,1,89
9.4,4.882,100,891170,2,1,89
14.7,5.748,150,1078843,6,1,82
9.2,5.748,150,1078843,6,1,74
14.7,5.748,150,1078843,6,1,72
14.3,4.882,100,1078843,6,1,78
7.7,4.882,100,1078843,6,1,70
12.4,4.882,100,1078843,6,1,66
11.5,4.882,100,1078843,6,1,86
9.4,4.882,100,1078843,6,1,84
15.2,5.748,150,1268057,6,1,84
15.1,5.748,150,1268057,6,1,82
11.2,5.748,150,1268057,6,1,80
7.9,4.882,100,1268057,6,1,76
7.3,4.882,100,1268057,6,1,72
12.7,4.882,100,1268057,6,1,74
12.1,4.882,100,1268057,6,1,68
7.4,4.882,100,1268057,6,1,66
13.2,5.748,150,1457261,8,1,89
11.5,5.748,150,1457261,8,1,82
8.6,5.748,150,1457261,8,1,76
12.9,5.748,150,1457261,8,1,82
